Mot;Contexte;Définition;Exemples ;
Autarcie ;;Qui se suffit à lui-même, état d'un pays qui se suffit à lui-même, économie fermée.;Vivre en autarcie.;
Endogène;Didactique;Qui prend naissance à l'intérieur, est dû à une cause interne . Venant de cellules situées dans les profondeurs des tissus.;Organes endogènes.;
Tautologie ;Logique;Proposition vraie quelle que soit la valeur de vérité de ses composants. Désigne le fait de répéter la même idée en termes différents, soit dans la même proposition. ;J'en porte la responsabilité pleine et entière.;
Démotique ;;Qui est utilisé par le peuple, à propos de la langue (grec moderne) ou de l'écriture (égyptien ancien). Se dit de la langue parlée et de l'écriture cursive vulgaire des anciens Égyptiens (simplification de l'écriture hiératique).;;
Boutisme ;Informatique;"Aussi dit ""endianness"" en anglas désigne l'ordre dans lequel les octets sont placés.";;
Anéthique ;;Qui n'est pas concerné par la morale, sans éthique.;;
Sui generis ;Latin;"Terme latin signifiant ""de son propre genre"" et qualifiant une situation juridique dont la singularité emmêle tout classement dans une catégorie déjà répertoriée et nécessite de créer des textes spécifiques.";;
Ex cathedra ;Latin;"Locution latine signifiant ""du haut de la chaire"" employée au sens de ""avec un ton doctoral"" ou dogmatique. ";Parler ex cathedra.;
Épistémologie ;Science;Étude critique des sciences, destinée à déterminer leur origine logique, leur valeur et leur portée (théorie de la connaissance).;;
Sémiologie ;Science;Science qui étudie les systèmes de signes.;;
Copule;Linguistique;Mot qui relie le sujet au prédicat.;;
Pugnacité;;Combativité.;Et maintenant que l’Action française lui manque pour exercer sa pugnacité, il s’en prend aux autres.;
Mièvre;;D'un charme un peu puéril,  d'une grâce enfantine et fade ;Une peinture assez mièvre.;
Mignard;;Gentil, mignon.;;
Apostolat;Religion;Prédication, propagation de la foi, mission qui requiert de l'énergie et de la foi.;Son brûlant esprit d’apostolat s’indignait de mes paisibles allures, de mon goût pour la recherche.;
Apostolique;Religion;Relatif aux apôtres.;Une lettre apostolique.;
Péricliter;;Décliner.;Des chiens errants flairaient la devanture de commerces qui semblaient péricliter.;
Pédigrée ;Ironie;Généaologie d'une personne (généalogie d'un animal de pure race).;;
Lèse-majesté;;Crime contre l'autorité du souverain.;;
Lèse-humanité;;Crime contre l’humanité.;;
Couard ;;Qui est lâchement peureux.;Mieux vaut être couard une minute que mort tout le reste de la vie.;
Éconduire;;"Repousser (un solliciteur), ne pas accéder à la demande de qqun ; congédier, renvoyer ; congédier quelqu'un, refuser de le recevoir, ne pas acceter sa demande : éconduire un importun.";Il s'est fait éconduire honteusement.;
Harangue;;Discours solennel prononcé devant une assemblée, un haut personnage. Discours pompeux et ennuyeux, remontrance interminable.;Les harangues des orateurs de la Révolution.;
